,Title,Journal,Publication Date,Cited by,Abstract
76,A 5-Year Review of Pavement Burns From a Desert Burn Center,Journal of burn care & research : official publication of the American Burn Association,2019 Jun 21,,"Pavement burns account for significant burn-related injuries in the Southwestern United States and other hot climates with nearly continuous sunlight and daily maximum temperatures above 100°F. At peak temperatures, pavement can be hot enough to cause second-degree burns in a matter of seconds. The goal of this study was to review pavement burn injury admissions at a desert burn center compared with maximum ambient temperatures to determine which temperatures correlated to an increase in burn admissions. We obtained ambient temperature data from the National Oceanic and Atmospheric Administration. We reviewed our registry for 5 years retrospectively of all pavement burn injury admissions to our burn center. A total of 173 pavement-related burn cases were identified. We demonstrated an exponential increase in the rate of burn admissions as maximum ambient temperatures increased. More than 88% of pavement-related burn injury admissions occurred when the ambient temperature reached 95°F or higher. The risk per day was extrapolated based on the number of pavement burn injury admissions and the number of days at each of the maximum ambient temperatures recorded. The risk of pavement burns in areas of direct sunlight begins around 95°F and increases exponentially as ambient temperatures rise. This information will be used for burn outreach prevention and public health awareness programs. The benefit of this study relates to the entire community since high ambient temperatures put everyone at risk for hot pavement burns."
77,Analysis of the impact of health and safety coordinator on construction site accidents: The case of Spain,Journal of safety research,2019 Feb,,"The figure of the Health and Safety Coordinator (HSC), as a necessary and competent engineer in the construction sector, emerged in Spain on December 25, 1997 as a result of the implementation of European Directive 92/57/EEC. The coming of age of this figure is a sufficient period of time for determining its implementation and impact within the construction sector. The research carried out in this article arose from the analysis of statistical data obtained through Public Authorities and Professional Bodies. The quantitative study of the data extracted is complemented by the creation of specific benchmark indicators which connect four fundamental variables in the construction industry: the number of accidents, volume of workers employed, building units, and health and safety coordination posts. Furthermore, the legislation governing the HSC engineer in each of the 28 Member States of the European Union is studied. The results show a high implementation rate for the figure of the HSC, as well as a positive impact in relation to the reduced accident rate in the construction sector. Likewise, an update to the procedures of the various authorities is considered to be necessary in order to make the data concerning the actual work of the health and safety coordinators public. Finally, a review of the Spanish legislation concerning the HSC Coordinator is considered to be inevitable, in order to bring it up to the levels of professional skill and competence defined by the majority of European Union Member States."
78,Buddies in bad times? the role of co-workers after a work-related injury,Journal of occupational rehabilitation,2013 Sep,,"Introduction:                       Co-workers can play an important role after a work-related injury. They can provide details about the circumstances of an accident, offer emotional support to the injured worker and help with job tasks upon a co-worker's return to work (RTW). Working with an injured co-worker, however, can also strain work relationships and increase workload. The purpose of this study was to determine the role that co-workers play after a work-related injury and during the RTW process in the unionized, electrical construction sector.                  Methods:                       We conducted two focus groups with injured electricians and union representatives. We also interviewed co-workers who had worked with someone who had been injured in the course of employment. We examined the role that co-workers can play after a work-related injury and some of the factors facilitating and hindering co-worker support.                  Results:                       The structure of work in the electrical sector-a focus on cost-cutting and competition, job insecurity, perceptions of ""different camps"" among co-workers, little modified work and poor formal communication-can impede co-worker support and contribute to making injured workers' experiences difficult. Management can play an important role in setting an example for how injured workers are regarded and treated.                  Conclusions:                       Future research should explore how workers can better be supported after a work-related injury and during the RTW process."
79,Health professionals' perceptions of musculoskeletal injury and injury risk factors in Australian triathletes: a factor analysis,Physical therapy in sport : official journal of the Association of Chartered Physiotherapists in Sports Medicine,2013 Nov,,"Objective:                       This study investigated health professional perceptions of triathlon-related injury risk factors and injury prevention strategies, to inform prospective cohort studies investigating injury in triathletes.                  Design:                       Exploratory factor analysis.                  Methods:                       A questionnaire was developed and distributed to Australian sports medicine health professionals (n = 504). Information was collected about their perceptions of factors contributing to injury and injury prevention strategies relating to Sprint/Olympic (S/O) and Ironman/Long Course (I/LC) athletes. Factor analysis was performed to identify the number and nature of the constructs (factors) underlying the responses to the questions, and to ascertain whether these factors were similar for S/O and I/LC athletes.                  Results:                       The response rate was 22.4% (n = 113). Five factors were extracted for injury risk accounting for 53% (S/O) and 56% (I/LC) of the variance. The factors were common across S/O and I/LC groups; biomechanics and technique, training factors, demographics, injury prevention and personal factors. Three common factors accounted for 54% (S/O) and 55% (I/LC) of the variance for injury prevention strategies; designated training regimes, health and medical monitoring and preparation of the triathlete.                  Conclusions:                       These results indicate that future studies into triathlon injuries should include, at a minimum, detailed training load and demographic factors to test their impact as injury risk factors in triathlete populations."
80,The evolution of a purpose designed hybrid trauma operating room from the trauma service perspective: the RAPTOR (Resuscitation with Angiography Percutaneous Treatments and Operative Resuscitations),Injury,2014 Sep,,"Traumatic injury is the leading cause of potentially preventable lost years of life in the Western world and exsanguination is the most potentially preventable cause of post-traumatic death. With mature trauma systems and experienced trauma centres, extra-abdominal sites, such as the pelvis, constitute the most frequent anatomic site of exsanguination. Haemorrhage control for such bleeding often requires surgical adjuncts most notably interventional radiology (IR). With the usual paradigm of surgery conducted within an operating room and IR procedures within distant angiography suites, responsible clinicians are faced with making difficult decisions regarding where to transport the most physiologically unstable patients for haemorrhage control. If such a critical patient is transported to the wrong suite, they may die unnecessarily despite having potentially salvageable injuries. Thus, it seems only logical that the resuscitative operating room of the future would have IR capabilities making it the obvious geographic destination for critically unstable patients, especially those who are exsanguinating. Our trauma programme recently had the opportunity to conceive, design, build, and operationalise a purpose-designed hybrid trauma operating room, designated as the resuscitation with angiographic percutaneous techniques and operative resuscitation (RAPTOR) suite, which we believe to be the first such resource designed primarily to serve the exsanguinating trauma patient. The project was initiated after consultations between the trauma programme and private philanthropists regarding the greatest potential impacts on regional trauma care. The initial capital construction costs were thus privately generated but coincided with a new hospital wing construction allowing the RAPTOR to be purpose-designed for the exsanguinating patient. Many trauma programmes around the world are now starting to navigate the complex process of building new facilities, or else retrofitting existing ones, to address the need for single-site flexible haemorrhage control. This manuscript therefore describes the many considerations in the design and refinement of the physical build, equipment selection, human factors evaluation of new combined treatment paradigms, and the final introduction of a RAPTOR protocol in order that others may learn from our initial efforts."
81,Fewer workers' compensation claims and lower claim costs if employers with high injury rates achieved the rates of their safer peers,Journal of safety research,2019 Sep,,"Introduction:                       Employers engaged in similar business activities demonstrate a range of workers' compensation claim rates. Workplace injuries and illnesses could be prevented if employers with high claim rates achieved the claim rates of their safer peers.                  Methods:                       We used Washington workers' compensation claims data for years 2013-2015 to calculate rates of compensable claims (eligible for disability or time loss benefits, if unable to work four days after injury) and total accepted claims (compensable plus medical-aid only claims) for each employer. We estimated the number and cost of claims to occur if employers with high claim rates reduced them to the rates of employers at the 25th percentile, adjusted for insurance risk class, employer size, and injury type. To evaluate the impact of setting more or less ambitious goals, we also estimated reductions based on claim rates at the 10th and 50th percentiles.                  Results:                       Over 43% of claims and claim costs would be prevented if employers with higher claim rates lowered them to the 25th percentile using either total accepted or compensable claim rates as the benchmark outcome. The estimated claim cost savings from benchmarking to compensable claims was nearly as great as the estimate based on benchmarking to total accepted claims ($308.5 mil annually based on compensable claims vs. $332.4 mil based on total accepted claims). Restaurants and Taverns had the greatest number of potentially prevented compensable claims. Colleges and Universities and Wood Frame and Building Construction had the greatest potential reduction in compensable claim costs among larger and smaller employers, respectively.                  Conclusion:                       Substantial reductions in workers' compensation claims and costs are possible if employers achieve the injury rates experienced by their safer peers. Practical application: Evaluating the range of workplace injury rates among employers within industry groups identifies opportunities for injury prevention and offers another approach to resource allocation."
82,More than training: Community-based participatory research to reduce injuries among hispanic construction workers,American journal of industrial medicine,2013 Aug,,"Background:                       Workplace mortality and severe injury are disproportionately distributed among foreign born and Hispanic construction workers. Worker Centers (WCs) provide services and advocacy for low-wage workers and a way for investigators to reach them. The goal of this project is to prevent occupational injuries by increasing awareness of hazards and self-efficacy among foreign born, Hispanic construction workers and by expanding the agenda of WCs to include occupational health and safety (H&S).                  Methods:                       Investigators partnered with eight WCs in seven cities to train worker leaders to deliver a modified OSHA 10-hr curriculum to their peers.                  Results:                       Thirty-two worker leaders trained 446 workers over 3 years. There was a demonstrated improvement in knowledge, hazard identification, self-efficacy, and sustainable H&S activities.                  Conclusions:                       This study provides evidence for successful implementation of a training intervention for low wage, low literacy Hispanic construction workers using a community-based participatory research approach."
83,Fatal injuries among Hispanic workers in the U.S. construction industry: Findings from FACE investigation reports,Journal of safety research,2018 Dec,,"Introduction:                       Identifying and understanding the characteristics of workplace accidents can provide vital information required to clarify their causes and prevent similar accidents from happening in the future. The Hispanic workforce represents a significant segment of the U.S. construction labor force that is projected to continue increasing in population. The government statistical data show higher rates of fatalities among Hispanic workers when compared to other ethnic groups.                  Method:                       This study aims to provide details about the trends of fatal injuries among Hispanic workers. The study examined 92 government investigation reports to reveal the general trends, then an examination of fatal fall injuries within the study sample was conducted since falling is the predominant cause of fatal injuries.                  Results:                       The findings suggest differences in accident characteristics between Hispanic workers and all workers, which could indicate a need for different interventions to improve the overall site safety. The study also revealed the dire need to propose revised investigation procedures that would help identify the root causes of accidents, which in turn leads to better recommendations and interventions."
84,Serious injury prediction algorithm based on large-scale data and under-triage control,Accident; analysis and prevention,2017 Jan,,"The present study was undertaken to construct an algorithm for an advanced automatic collision notification system based on national traffic accident data compiled by Japanese police. While US research into the development of a serious-injury prediction algorithm is based on a logistic regression algorithm using the National Automotive Sampling System/Crashworthiness Data System, the present injury prediction algorithm was based on comprehensive police data covering all accidents that occurred across Japan. The particular focus of this research is to improve the rescue of injured vehicle occupants in traffic accidents, and the present algorithm assumes the use of an onboard event data recorder data from which risk factors such as pseudo delta-V, vehicle impact location, seatbelt wearing or non-wearing, involvement in a single impact or multiple impact crash and the occupant's age can be derived. As a result, a simple and handy algorithm suited for onboard vehicle installation was constructed from a sample of half of the available police data. The other half of the police data was applied to the validation testing of this new algorithm using receiver operating characteristic analysis. An additional validation was conducted using in-depth investigation of accident injuries in collaboration with prospective host emergency care institutes. The validated algorithm, named the TOYOTA-Nihon University algorithm, proved to be as useful as the US URGENCY and other existing algorithms. Furthermore, an under-triage control analysis found that the present algorithm could achieve an under-triage rate of less than 10% by setting a threshold of 8.3%."
85,"Injury among migrant workers in Changning district, Shanghai, China",International journal of injury control and safety promotion,2012,,"The objective of this study was to characterise the injury epidemic and injury prevention needs of migrant workers in Shanghai. Cluster random sampling was applied in selecting subjects in migrant gathering areas, and face-to-face interview survey was conducted in this study. In this survey, 1256 migrant workers were included, among which the injury incidence in last one year was 38.3%. The first four injuries were incised and penetrating injury (9.5%), falls (7.2%), traffic injury (6.3%) and burns (5.3%). The injury incidence of male workers was significantly higher than that of female workers (χ(2) = 22.7, P < 0.01). Electricians, safeguards and construction workers were at the highest risk of getting injured. About 60.7% of injury episodes happened at a residence. The longest period of absence from work was up to 3 months due to falls, while the highest medical expense was near 9999 CNY ($1464.2) caused by traffic injury. About 62.9% of migrant workers need services on injury prevention. It is concluded that compared with urban registered residents, migrant workers have significantly higher incidence of injury in Shanghai. Injury prevention services are in urgent demand among the migrant workers."
86,Fatal head injury: a sequelae to electric shock - a case report,The Medico-legal journal,2015 Mar,,"Deaths due to electric shock are increasing despite stringent laws and preventive measures. These shocks are a leading cause of death amongst construction workers. In about 20% of the cases, no visible injury due to electricity can be seen. In some cases, non-electrical injuries are present and at times there are no eyewitnesses to provide a detailed account of events. In such circumstances, examination of scene of death, autopsy and accident reconstruction with the help of an electrical expert are all necessary to determine the cause of death. Here, we report one such case where a mason working on the second floor of a building under construction sustained an electrical injury, following which he was thrown to the ground sustaining a fatal traumatic injury. After careful consideration, his death was attributed to the head injury."
87,Experimental study of tendon sheath repair via decellularized amnion to prevent tendon adhesion,PloS one,2018 Oct 16,,"The adhesion of tendon and surrounding tissue is the most common complication after repairing an injured tendon. The injured flexor tendons in zone II are frequently accompanied by tendon sheath defects, which lead to poor recovery. A variety of biological and non-biological materials have been recently used for repair or as substitute for tendon sheaths to prevent tendon adhesion. However, non-biological materials, such as polyethylene films, have been used to prevent tendon adhesions by mechanical isolation. The possibility of tendon necrosis and permanent foreign body remains due to the lack of permeability and the obstruction of nutrient infiltration. The natural macromolecule amniotic membrane derived from organisms is a semi-permeable membrane with the following characteristics: smooth; without vascular, nerve, and lymphatic; and rich in matrix, cytokines, enzymes, and other active ingredients. The unique structure of this membrane makes it an ideal biomaterial. In the experiment in Henry chicken, the model of tendon sheath defect and the flexor digitorum tendon in zone II was established and randomly divided into control group, medical membrane group, and decellularized amniotic membrane group. Samples were obtained at the 2nd, 4th, 8th, and 12th week after operation. General, histological, and biomechanical tests were performed to investigate the preventive effect of repaired tendon sheath by decallularized amniotic membrane. Experimental results showed the following: the amniotic membrane group and the medical membrane group had mild inflammatory reaction and tissue edema, and nearly no adhesion was observed in the surrounding tissue; the fibroblast-like cells were distributed in layers under the light microscope; the amniotic membrane group was denser than the medical membrane group cells, and numerous fibroblasts were disorganized in the control group. Biomechanical measurements showed that the sliding distance of tendon, the total flexion angle of the toes, and the tendon maximum tensile breaking strength at the early postoperative were significantly better than in the control group. Through this experiment, the amniotic membrane, as a natural biological substitute material in the construction of tendon sheath, can effectively inhibit exogenous healing and promote endogenous healing to prevent tendon adhesion."
88,A Sport Fitness Index for Assessment of Sport-Related Injury Risk,Clinical journal of sport medicine : official journal of the Canadian Academy of Sport Medicine,2016 Sep,,"Objective:                       To develop and validate a concise survey that will identify athletes who possess elevated injury risk.                  Design:                       Cohort study.                  Setting:                       National Collegiate Athletic Association Division I athletic program.                  Participants:                       Cohorts of 188 and 146 college athletes who participated during successive academic years.                  Assessment of risk factors:                       The first cohort provided responses to 4 joint-specific outcome surveys that were related to subsequent time-loss injury occurrence. Receiver operating characteristic analysis identified survey items that provided best discrimination, which were combined with a negative life event stress item to create a new 10-item survey. The second cohort provided responses to the new survey, which were converted to a 0 to 100 score.                  Main outcome measures:                       Construct validity was assessed through documentation of time-loss injuries sustained during the preceding 12 months and predictive validity was assessed through prospective documentation of sport-related sprains and strains. Cronbach alpha was calculated to assess internal consistency.                  Results:                       Each of the outcome survey items used to develop the new survey demonstrated much greater specificity than sensitivity. Both the retrospective and prospective receiver operating characteristic (ROC) analyses identified scores of 96 and 88 as cut-points that provided good discrimination between injured and noninjured cases. The area under the curve was 0.69 (P < 0.001) for the retrospective analysis and 0.62 (P = 0.016) for the prospective analysis. Cronbach alpha was 0.89 (90% CI, 0.86-0.91).                  Conclusions:                       Self-reported effects of previous injury may be one method to efficiently identify athletes who possess elevated injury risk, and subsequently deliver preventive interventions, thereby providing an alternative method to time-intensive functional testing."
89,Eye injuries in the elderly from consumer products in the United States: 2001-2007,Graefe's archive for clinical and experimental ophthalmology = Albrecht von Graefes Archiv fur klinische und experimentelle Ophthalmologie,2013 Mar,,"Purpose:                       To quantify and characterize eye injuries related to consumer products in elderly patients (≥ 65) treated in United States (US) hospital emergency departments (EDs) in 2001-2007.                  Design:                       Retrospective study.                  Participants:                       The study comprised 1,455 patient cases.                  Methods:                       Descriptive analysis of consumer-product (CP)-related eye injury data derived from the National Electronic Injury Surveillance System, a probability sample of 100 hospitals nationwide with 24-hour EDs. Narrative data was used to assign each case with the CP causing the eye injury, correcting for cases with misclassified CP codes. The proportions of eye injury visits were calculated by age, gender, diagnosis, disposition, locale of incident, and CP categories. The patient population included ocular injuries of all severity levels. We examined data for all non-fatal eye injuries in elderly patients (≥ 65) treated in US EDs in 2001-2007.                  Main outcome measures:                       Age, gender, diagnosis, case disposition, locale of incident, CP causing the injury.                  Results:                       There were an estimated 67,864 visits to United States EDs by patients >65 years for CP-related eye injuries during the study period, of which 64 % (43,105; 95 % confidence interval [CI], 40,739-45,472) were by males; 70 % (CI, 44,837-49,496) occurred at home. Chemicals (22 %; 15,236; CI, 13,482-16,989), followed by cutting tools/construction (21 %; 14,524; CI, 12,777-16,272), furniture (15 %; 10,145; CI, 8,724-11,566), and gardening (14 %; 9,467; CI, 8,021-10,912) were the most common causes of eye injury. The CP categories with the greatest proportion of preventable injuries were cutting tools/construction (90 %), gardening (88 %), and household tools (71 %). Contusions or abrasions (39 %; 26,968; CI, 24,850-29,086) were the most common diagnoses.                  Conclusions:                       This study suggests that most CP-related elderly eye injuries in the U.S. occur at home and in men. Chemicals are the most common cause of injury. Further research is needed to determine effective strategies to minimize CP-related eye injuries in the elderly."
90,Ensuring the Right to Rest: City Ordinances and Access to Rest Breaks for Workers in the Construction Industry,Journal of occupational and environmental medicine,2018 Apr,,"Objective:                       The aim of this study was to evaluate the effectiveness of city Rest Break Ordinance (RBO) policies in expanding access to rest at work.                  Methods:                       We use data from surveys of construction workers in Austin and Dallas, Texas, in 2009, 2012, and 2015 (n = 557) to calculate the odds of receiving a rest break in pre- versus post-RBO Austin and in post-RBO Austin versus pre-RBO Dallas, controlling for demographic and employment characteristics.                  Results:                       Construction workers were 35% more likely to report receiving a rest break in Austin post-RBO and 16% less likely in Dallas without a RBO as compared to Austin with a RBO.                  Conclusion:                       The increased likelihood of receiving rest breaks at work in a RBO city suggests that, in the absence of enforceable national standards, city-level RBOs can be an important first step to effective prevention of heat-related illnesses (HRIs) and heat-related fatalities at work."
91,Use of Social or Behavioral Theories in Exercise-Related Injury Prevention Program Research: A Systematic Review,"Sports medicine (Auckland, N.Z.)",2019 Oct,,"Background:                       The use of social or behavioral theories within exercise-related injury prevention program (ERIPP) research may lead to a better understanding of why adherence to the programs is low and inform the development of interventions to improve program adherence. There is a need to determine which theories have been used within the literature and at what level theory was used to further the field.                  Objective:                       To determine which social or behavioral science theories have been incorporated within ERIPP research and assess the level at which the theories were used. The key question guiding the search was ""What social or behavioral theories have been used within ERIPP research?""                  Methods:                       A systematic review of the literature was completed with an appraisal of bias risk using a custom critical appraisal tool. An electronic search of EBSCOhost (Academic Search Complete, CINAHL, Medline, Psychology and Behavioral Sciences Collection) and PubMed was completed from inception to October 2018. Studies investigating attitudes towards ERIPP participation with the use of a social or behavioral theoretical model or framework were eligible for inclusion.                  Results:                       The electronic search returned 7482 results and two articles were identified though a hand search, which resulted in ten articles meeting inclusion criteria. Four different behavioral or social theoretical models or frameworks were identified including the health action process approach model, health belief model, self-determination theory, and theory of planned behavior. Six studies utilized the theory at a B level meaning a theoretical construct was measured while four utilized the theory at the C level meaning the theory was tested. The mean critical appraisal score was 78%, indicating a majority of the studies were higher quality.                  Conclusion:                       There has been an increase in the use of theory within literature that is specific to ERIPP participation. Additionally, the use of theory has shifted from guiding program design to the measurement of theoretical constructs and testing of the theoretical models."
92,Climatic and psychosocial risks of heat illness incidents on construction site,Applied ergonomics,2016 Mar,,"The study presented in this paper aims to identify prominent risks leading to heat illness in summer among construction workers that can be prioritised for developing effective interventions. Samples are 216 construction workers' cases at the individual level and 26 construction projects cases at the organisation level. A grounded theory is generated to define the climatic heat and psychosocial risks and the relationships between risks, timing and effectiveness of interventions. The theoretical framework is then used to guide content analysis of 36 individual onsite heat illness cases to identify prominent risks. The results suggest that heat stress risks on construction site are socially constructed and can be effectively managed through elimination at supply chain level, effective engineering control, proactive control of the risks through individual interventions and reactive control through mindful recognition and response to early symptoms. The role of management infrastructure as a base for effective interventions is discussed."
93,Modeling and Optimization of Airbag Helmets for Preventing Head Injuries in Bicycling,Annals of biomedical engineering,2017 Apr,,"Bicycling is the leading cause of sports-related traumatic brain injury. Most of the current bike helmets are made of expanded polystyrene (EPS) foam and ultimately designed to prevent blunt trauma, e.g., skull fracture. However, these helmets have limited effectiveness in preventing brain injuries. With the availability of high-rate micro-electrical-mechanical systems sensors and high energy density batteries, a new class of helmets, i.e., expandable helmets, can sense an impending collision and expand to protect the head. By allowing softer liner medium and larger helmet sizes, this novel approach in helmet design provides the opportunity to achieve much lower acceleration levels during collision and may reduce the risk of brain injury. In this study, we first develop theoretical frameworks to investigate impact dynamics of current EPS helmets and airbag helmets-as a form of expandable helmet design. We compared our theoretical models with anthropomorphic test dummy drop test experiments. Peak accelerations obtained from these experiments with airbag helmets achieve up to an 8-fold reduction in the risk of concussion compared to standard EPS helmets. Furthermore, we construct an optimization framework for airbag helmets to minimize concussion and severe head injury risks at different impact velocities, while avoiding excessive deformation and bottoming-out. An optimized airbag helmet with 0.12 m thickness at 72 ± 8 kPa reduces the head injury criterion (HIC) value to 190 ± 25 at 6.2 m/s head impact velocity compared to a HIC of 1300 with a standard EPS helmet. Based on a correlation with previously reported HIC values in the literature, this airbag helmet design substantially reduces the risks of severe head injury up to 9 m/s."
94,Risk Engagement and Protection Survey (REPS): developing and validating a survey tool on fathers' attitudes towards child injury protection and risk engagement,Injury prevention : journal of the International Society for Child and Adolescent Injury Prevention,2018 Apr,,"Introduction:                       Fathers play a unique role in keeping children safe from injury yet understanding of their views and attitudes towards protecting children from injury and allowing them to engage in risks is limited. The purpose of this study was to develop and validate an instrument to measure fathers' attitudes towards these two constructs.                  Methods and findings:                       An instrument was developed that used prior qualitative research to inform item generation. The questions were assessed for content validity with experts, then pilot-tested with fathers. The survey was completed by 302 fathers attending hospital with their child for an injury or non-injury reason. Results of confirmatory factor analysis identified eight items relating to the protection from injury factor and six items relating to the risk engagement factor. Correlation between the two factors was low, suggesting these are two independent constructs.                  Conclusions:                       The Risk Engagement and Protection Survey offers a tool for measuring attitudes and assisting with intervention strategy development in ways that reflect fathers' views and promotes a balanced view of children's needs for safety with their needs for engaging in active, healthy risk-taking."
95,Construct validity and impact of mode of administration of the PedsQL™ among a pediatric injury population,Health and quality of life outcomes,2014 Nov 30,,"Background:                       The purpose of this study was to determine the construct validity of the PedsQL™ health related quality of life (HRQoL) instrument for use among injured children and to examine the impact of using different modes of administration, including paper and pencil, online and telephone.                  Methods:                       Two hundred thirty-three participants (aged 0 - 16) were recruited from hospital wards and the emergency department of a pediatric hospital in a large urban center in British Columbia, Canada. Data used to evaluate the construct validity of the PedsQL™ were collected from participants at the time of seeking injury treatment (baseline) to capture a retrospective measure of pre injury health, and one month post injury. Data used to compare different modes of administration (n = 44) were collected at baseline. To assess construct validity repeated measures analysis of variance (rANOVA) was used to determine whether the PedsQL™ tool was able to discriminate between patients pre and post injury while investigating possible interaction by category of length of stay in hospital. The impact of different modalities of administering the PedsQL™ on item responses was investigated using Bland-Altman plots.                  Results:                       rANOVA showed significant differences in PedsQL™ total score between baseline and one month post injury (p < .001), and differences in mean total score at one month post injury by category of injury severity (p < .001). There was also significant interaction by category of injury severity for the change in PedsQL™ total score from baseline to one month (p < .001). Pearson's correlations were highly significant across three modalities of survey administration: paper and pencil, computer and telephone administration (range: .92 to .97, p < .001). Bland-Altman plots showed strong consistency.                  Conclusion:                       The PedsQL™ instrument is able to discriminate between pre and post injury HRQoL, as well as HRQoL post injury for injuries of varying severity. These findings are an indication that this instrument has good construct validity for the purpose of evaluating HRQoL of injured children. Data collected via paper-pencil, online and telephone administration were highly consistent. This is important as depending on the setting, clinical or research, different modalities of completing this instrument may be more appropriate."
96,Formulating a programme of repairs to structural home injury hazards in New Zealand,Accident; analysis and prevention,2013 Aug,,"Home injuries are a substantial health burden worldwide, with the home setting being at least as important as the road for injury. Focusing on common injury hazards presented by the home environment, we sought to examine the justification for significant expenditure on safety-related repairs to the housing stock. Trained inspectors assessed 961 New Zealand houses for injury hazards. Using administrative data from the Accident Compensation Corporation (the national injury insurance agency), 1328 home injuries were identified amongst the 1612 occupants of these houses over the 2006-2009 period. Telephone interviews gathered data on the location and nature of these injuries, and the attitudes of those injured to potential injury hazards in their homes. Commonly occurring injury hazards that could be repaired at modest cost were identified based on their prevalence estimated by the housing inspection, and their location with respect to the areas of the home where the injuries occurred (identified during the telephone interviews). About 38% of the home injuries studied were potentially related to a structural aspect of the home environment. Common safety hazards included the lack of working smoke detectors (65% of the sample), inadequately fenced driveways (55%), hot water temperatures measured at over 60° (49%) and poorly lit access to the house (34%). A protocol for identifying and repairing important common hazards was designed. The actual safety effects of this protocol are in the process of being examined in a randomised controlled trial."
97,"Framing and blaming: construction of workplace injuries by legislators in Alberta, Canada",International journal of occupational and environmental health,2013 Oct-Dec,,"Background:                       Legislators in the Canadian province of Alberta have successfully resisted pressure to increase state injury-prevention efforts.                  Objectives:                       This study seeks to identify the narratives used by legislators to manage political pressure for increased injury-prevention efforts.                  Methods:                       Narrative analysis of legislative transcripts from 2000 to 2012.                  Results:                       Three narratives are identified in the data: (1) injuries are caused by ignorance and inattention, (2) workplaces are safe and getting safer, and (3) risk is inevitable and mitigation is (too) expensive. Each narrative has 2-4 subcomponents.                  Conclusions:                       The consistency of the messages delivered by legislators over time suggests an intentional effort to frame workplace injury in ways that manage political pressure for greater state efforts to prevent workplace injuries while maintaining the government's legitimacy. The narratives used by legislators draw on widely held beliefs about workplace injuries, including the careless worker myth and the notion that safety pays."
98,Fracture Liaison Services: the UK experience,Osteoporosis international : a journal established as result of cooperation between the European Foundation for Osteoporosis and the National Osteoporosis Foundation of the USA,2011 Aug,,"Fracture Liaison Services (FLS) have been shown to deliver clinically and cost-effective osteoporosis care for patients presenting to hospital with fragility fractures. During the first decade of the new millennium, a consensus emerged in the UK on the need for universal access to FLS. This presentation described constructive interactions between policy makers, professional organizations, patients and their associations, and pharmaceutical manufacturers that led to the incorporation of FLS into national policy and guidance."
99,Experts' perspectives on the application of public-private partnership policy in prevention of road traffic injuries,Chinese journal of traumatology = Zhonghua chuang shang za zhi,2020 Jun,,"Purpose:                       Successful application experiences on public-private partnership (PPP) in different countries, suggest that PPP could be an option in road traffic injury (RTI) prevention. The present study aims at investigating the applicability of PPP policy in RTI prevention in Iran based on the experts' perspectives.                  Methods:                       This is a qualitative study with grounded theory approach which has been conducted in Tabriz University of Medical Sciences, Iran in 2018. The participants were 22 experts in the field of RTIs selected using purposive sampling method. Data were collected by semi-structured interviews and analyzed with content-analysis method.                  Results:                       The results were classified under 5 main themes (applicability, scopes and services, challenges, advantages, and strategies) for applying PPP policy and 37 sub-themes. Due to the prevalence of RTIs, the present challenges in public sector, existence of qualified private sector, and successful experiences in other areas, there are opportunities for private sector partnership in prevention of RTIs. Private sector could participate in different scopes and services regarding RTI prevention, including road construction and maintenance, maintenance and provision of vehicles safety and public education. The main challenges including legislation issues, ambiguities in collaboration, political and organizational unsustainability, government's financial hardship and lack of experienced experts in the field of RTI. However, there are significant advantages including high efficiency in program implementation, covering the weaknesses of public sector, effective and efficient management on application of PPP in RTI prevention. The strategies include identifying and prioritizing the assignable activities, identifying the qualified private sector, developing PPP policies and legal frameworks, creating a common language between public and private parties, trying to meet the expectations of the private sector by public sector, developing a comprehensive and sound contract, and cultivating public culture to accept private sector in the field of RTI prevention.                  Conclusion:                       This study sought to determine whether PPP could be used as strategy to reduce the burden of RTIs in Iran. But it requires a lot of preliminary studies to provide the context and conditions for applying this policy."
100,Home-related injuries among under-five-year children and mothers' care regarding injury prevention in rural areas,International journal of injury control and safety promotion,2017 Sep,,"This cross-sectional study was conducted in rural areas of Twiserkan (Toyserkan) County, in Iran, to assess factors associated with home-related injuries among under-five-year children and their mothers' care regarding injury prevention. Mothers who had their under-five-year-old children injured within a 12-month period were identified from recorded information in Twiserkan Health Center. Then, data were gathered using pre-tested questionnaire and through interview with injured children's mothers. The questions were about characteristics of the children's injuries and their mothers' care regarding injury prevention, using PRECEDE (Predisposing, Reinforcing, and Enabling Constructs in Educational/Environmental Diagnosis and Evaluation) model with focus on knowledge and attitude; enabling and reinforcing factors; and mothers' preventive behaviours. The study results showed that 197 out of 210 total identified mothers took part in the study. The reported injuries were 11.68%, 39.09%, and 49.24%, respectively, for severe, moderate, and mild cases. Fall was the most frequent injury with 35%. Among PRECEDE model constructs, there was a statistically significant correlation between mothers' knowledge and injury severity among children. Home-related injuries are an important health problem among study population and their prediction and prevention are necessary. Enhancement of mothers' knowledge can be helpful to improve child injury prevention."
